ID,PhysicsI,ChemistryI,BiologyI,MathematicsI
1,59.5,76,98,83
2,2.2,32,41,79
3,72.5,40,10,71
4,71.8,35,6,20
5,97.6,4,92,57
6,5.8,9,84,74
7,48.6,46,59,33
8,9.7,8,74,38
9,19.5,82,37,87
10,88.3,86,89,26
11,49.5,22,19,54
12,51.5,59,80,29
13,74.5,89,54,99
14,13.4,50,98,58
15,2.7,18,84,1
16,32.0,79,79,28
17,7.4,30,7,54
18,24.8,66,75,85
19,36.3,94,55,29
20,42.5,36,32,92
21,71.9,61,97,89
22,76.9,23,13,16
23,64.2,87,42,84
24,19.5,45,26,13
25,98.3,71,80,44
26,67.8,3,18,78
27,34.2,4,75,91
28,73.1,85,54,2
29,11.2,76,68,22
30,27.4,20,53,27
31,25.1,74,31,81
32,46.9,65,17,66
33,88.9,37,35,75
34,73.1,34,83,2
35,26.7,4,22,78
36,77.4,83,52,32
37,39.6,11,20,92
38,64.6,30,100,8
39,41.1,96,6,100
40,97.5,78,27,8
41,85.9,53,40,17
42,47.1,20,34,45
43,57.0,86,4,23
44,61.1,15,86,15
45,88.1,60,69,33
46,3.0,40,16,13
47,81.0,91,83,74
48,21.7,45,44,99
49,51.6,38,53,67
50,88.8,26,31,93
51,83.9,23,20,29
52,88.2,75,84,11
53,2.7,26,93,9
54,13.0,55,36,68
55,57.1,8,39,8
56,23.5,22,57,72
57,45.8,89,17,69
58,13.1,3,96,22
59,76.8,39,20,29
60,87.7,50,3,51
