ID,PhysicsII,ChemistryII,BiologyII,MathematicsII
1,77.6,97,33,65
2,88.0,94,66,14
3,67.9,53,69,81
4,94.5,33,1,45
5,83.8,29,74,38
6,19.9,70,72,80
7,64.3,10,37,91
8,85.8,63,81,67
9,60.9,2,16,46
10,6.4,8,13,16
11,74.6,11,46,63
12,48.9,79,38,78
13,78.2,70,99,4
14,27.2,59,58,96
15,34.4,17,80,46
16,99.2,85,87,13
17,10.2,53,95,5
18,14.3,61,94,51
19,96.5,98,50,19
20,37.4,70,43,18
21,70.0,34,44,100
22,39.0,99,23,71
23,8.0,82,91,33
24,79.5,25,46,100
25,93.5,88,51,89
26,17.4,30,80,25
27,75.8,51,87,84
28,64.0,9,56,21
29,87.1,47,48,92
30,97.6,6,16,84
31,14.4,95,7,84
32,6.1,8,84,65
33,4.7,30,37,55
34,53.9,77,45,26
35,93.5,48,76,85
36,84.1,48,64,35
37,84.6,96,71,81
38,88.3,94,16,55
39,95.7,27,84,68
40,23.9,67,91,80
41,11.8,2,100,60
42,2.1,88,17,24
43,44.6,28,54,88
44,8.6,84,58,65
45,80.6,88,26,46
46,44.2,33,32,29
47,92.2,14,85,40
48,79.2,17,18,30
49,39.1,80,7,98
50,73.8,80,45,92
51,72.1,62,5,80
52,4.0,30,16,63
53,86.3,36,59,80
54,58.3,7,88,9
55,72.9,13,52,94
56,34.9,24,50,18
57,6.7,62,76,25
58,46.5,32,99,80
59,60.8,4,22,66
60,88.1,97,80,81
