ID,PhysicsIII,ChemistryIII,BiologyIII,MathematicsIII
1,88.6,66,14,59
2,57.1,34,13,72
3,42.7,56,91,21
4,60.1,56,70,81
5,38.0,19,86,39
6,46.7,21,2,13
7,90.1,59,59,29
8,16.6,49,3,3
9,18.4,85,34,67
10,30.3,67,84,84
11,90.5,71,99,15
12,3.3,18,16,6
13,51.5,17,15,1
14,10.7,10,11,15
15,33.0,90,2,37
16,74.3,79,41,81
17,64.1,48,27,42
18,11.2,25,10,34
19,68.6,93,35,75
20,63.4,77,55,80
21,86.1,8,8,63
22,66.2,32,68,61
23,66.7,47,11,81
24,50.7,24,61,69
25,26.6,57,92,77
26,54.9,73,37,14
27,54.1,37,22,33
28,77.1,49,70,58
29,85.3,80,64,42
30,57.3,5,87,14
31,29.4,24,98,68
32,10.3,10,49,20
33,53.2,19,78,90
34,4.9,4,33,56
35,4.3,75,44,85
36,89.9,91,91,72
37,19.2,6,44,16
38,82.0,27,81,33
39,88.8,99,39,16
40,33.3,17,55,36
41,24.9,42,55,62
42,25.7,99,62,86
43,59.4,28,12,71
44,17.7,2,73,94
45,53.1,40,41,25
46,31.2,37,45,7
47,79.2,17,45,73
48,81.9,56,15,18
49,53.2,88,8,8
50,54.0,53,41,10
51,83.9,91,42,59
52,92.7,23,50,26
53,88.8,16,67,21
54,69.8,3,18,22
55,78.2,63,53,37
56,32.1,46,40,59
57,35.3,11,81,76
58,86.5,79,26,58
59,58.5,15,98,36
60,79.8,93,94,76
